label id group
1 3-HydroxyphenylAceticAcid 1 Metabolome
2 Adenosine 2 Metabolome
3 Betaine 3 Metabolome
4 CholineChloride 4 Metabolome
5 Citrate 5 Metabolome
6 Creatine 6 Metabolome
7 D-Fructose 7 Metabolome
8 D-GluconicAcid 8 Metabolome
9 SLC25A17 9 Transcriptome
10 ERP27 10 Transcriptome
11 LONP2 11 Transcriptome
12 ENSSSCG00000003042 12 Transcriptome
13 ENSSSCG00000003235 13 Transcriptome
14 ENSSSCG00000003278 14 Transcriptome
15 CLCN6 15 Transcriptome
16 IFI44 16 Transcriptome
17 TXN 17 Transcriptome
18 PSMG3 18 Transcriptome
19 DRC1 19 Transcriptome
20 ENSSSCG00000008599 20 Transcriptome
21 CYP17A1 21 Transcriptome
22 ARPC4 22 Transcriptome
23 TAMM41 23 Transcriptome
24 UMPS 24 Transcriptome
25 CA5B 25 Transcriptome
26 UTP14A 26 Transcriptome
27 RPL35A 27 Transcriptome
28 EPHB6 28 Transcriptome
29 CYP19A1 29 Transcriptome
30 RPL26 30 Transcriptome
31 CYP4F22 31 Transcriptome
32 RNLS 32 Transcriptome
33 SYVN1 33 Transcriptome
34 CFAP44 34 Transcriptome
35 ENTPD6 35 Transcriptome
36 PDE3B 36 Transcriptome
37 ANGEL2 37 Transcriptome
38 IYD 38 Transcriptome
39 PRCP 39 Transcriptome
40 RPL37 40 Transcriptome
41 DZIP1L 41 Transcriptome
42 LAMA1 42 Transcriptome
43 EEF1A1 43 Transcriptome
44 UGT2A3 44 Transcriptome
45 GLA 45 Transcriptome
46 ABCC5 46 Transcriptome
47 NUCB1 47 Transcriptome
48 ARHGDIB 48 Transcriptome
49 STAU1 49 Transcriptome
50 FAM180A 50 Transcriptome
51 NR5A2 51 Transcriptome
52 THBS2 52 Transcriptome
53 ARMH4 53 Transcriptome
54 PTCD3 54 Transcriptome
55 S1PR5 55 Transcriptome
56 PPA1 56 Transcriptome
57 C1QB 57 Transcriptome
58 ENSSSCG00000049049 58 Transcriptome
59 MX1 59 Transcriptome
60 PDHB 60 Transcriptome
61 MPC1 61 Transcriptome
62 Glycerophosphocholine 62 Metabolome
63 GuanidinoaceticAcid 63 Metabolome
64 Hypoxanthine 64 Metabolome
65 L-Cystine 65 Metabolome
66 L-Glycine 66 Metabolome
67 L-Serine 67 Metabolome
68 L-Tyrosine 68 Metabolome
69 Myo-Inositol 69 Metabolome
70 NicotinuricAcid 70 Metabolome
71 Oxypurinol 71 Metabolome
72 SyringicAcid 72 Metabolome
73 TMAO 73 Metabolome
