label id group
1 2-Oxoglutarate 1 Metabolome
2 Betaine 2 Metabolome
3 Citrate 3 Metabolome
4 Creatine 4 Metabolome
5 D-Fructose 5 Metabolome
6 D-GluconicAcid 6 Metabolome
7 D-Sorbitol 7 Metabolome
8 ERP27 8 Transcriptome
9 PSMG3 9 Transcriptome
10 TET3 10 Transcriptome
11 ENSSSCG00000009851 11 Transcriptome
12 CYP17A1 12 Transcriptome
13 TM4SF4 13 Transcriptome
14 RAD9A 14 Transcriptome
15 ANGPTL6 15 Transcriptome
16 KCNN2 16 Transcriptome
17 VDAC1 17 Transcriptome
18 COLCA2 18 Transcriptome
19 CAB39 19 Transcriptome
20 CD300C 20 Transcriptome
21 PHF23 21 Transcriptome
22 RNLS 22 Transcriptome
23 YBX1 23 Transcriptome
24 CENPJ 24 Transcriptome
25 SYVN1 25 Transcriptome
26 CFAP44 26 Transcriptome
27 ARHGAP36 27 Transcriptome
28 ENSSSCG00000036545 28 Transcriptome
29 ELL 29 Transcriptome
30 PDE3B 30 Transcriptome
31 AFMID 31 Transcriptome
32 ABCC5 32 Transcriptome
33 IYD 33 Transcriptome
34 SCLT1 34 Transcriptome
35 HEPACAM2 35 Transcriptome
36 PMPCA 36 Transcriptome
37 DZIP1L 37 Transcriptome
38 CISD3 38 Transcriptome
39 CEMIP2 39 Transcriptome
40 RASGRP3 40 Transcriptome
41 PHB2 41 Transcriptome
42 EEF1A1 42 Transcriptome
43 ABCC5 43 Transcriptome
44 PRC1 44 Transcriptome
45 CNNM1 45 Transcriptome
46 ENPP2 46 Transcriptome
47 TBC1D13 47 Transcriptome
48 HAO2 48 Transcriptome
49 ENPP2 49 Transcriptome
50 FAM180A 50 Transcriptome
51 NR5A2 51 Transcriptome
52 THBS2 52 Transcriptome
53 SEPTIN11 53 Transcriptome
54 TMPO 54 Transcriptome
55 PDE6D 55 Transcriptome
56 PSAT1 56 Transcriptome
57 ENSSSCG00000044922 57 Transcriptome
58 LDHD 58 Transcriptome
59 EEF1B2 59 Transcriptome
60 CHKA 60 Transcriptome
61 LEPR 61 Transcriptome
62 C1QB 62 Transcriptome
63 IRS1 63 Transcriptome
64 ENSSSCG00000045200 64 Transcriptome
65 MPC1 65 Transcriptome
66 Glycerophosphocholine 66 Metabolome
67 Hypoxanthine 67 Metabolome
68 L-Alanine 68 Metabolome
69 L-Asparagine 69 Metabolome
70 L-Aspartate 70 Metabolome
71 L-GlutamicAcid 71 Metabolome
72 L-Glycine 72 Metabolome
73 L-Isoleucine 73 Metabolome
74 L-Leucine 74 Metabolome
75 L-Serine 75 Metabolome
76 L-Tyrosine 76 Metabolome
77 L-Valine 77 Metabolome
78 Lactate 78 Metabolome
79 Myo-Inositol 79 Metabolome
80 NicotinuricAcid 80 Metabolome
81 Phosphocholine 81 Metabolome
82 SyringicAcid 82 Metabolome
83 TMAO 83 Metabolome
