from to value color id
1 51 69 0.207983173312665 orangered 1
2 51 7 0.297203896661371 palegreen 2
3 51 63 0.311159969263789 palegreen 3
4 51 70 0.288080607306511 palegreen 4
5 51 4 0.416155440257075 orangered 5
6 51 1 0.244234372109425 orangered 6
7 51 64 0.21423566517131 orangered 7
8 51 71 0.421743933505422 orangered 8
9 51 2 0.382143607064541 orangered 9
10 51 8 0.308865006301754 orangered 10
11 55 69 0.228035498373306 palegreen 11
12 55 7 0.213141290618136 orangered 12
13 55 63 0.239360477963734 orangered 13
14 55 70 0.208455088541033 orangered 14
15 55 4 0.340835767824404 palegreen 15
16 55 71 0.370286935764121 palegreen 16
17 55 2 0.306825998252755 palegreen 17
18 55 8 0.241133891628376 palegreen 18
19 56 69 0.316752135297416 palegreen 19
20 56 7 0.316456156426126 orangered 20
21 56 63 0.350900644303541 orangered 21
22 56 6 0.226886134483659 palegreen 22
23 56 70 0.308984901938484 orangered 23
24 56 5 0.211085026830534 orangered 24
25 56 62 0.245309262242636 orangered 25
26 56 4 0.494322958807147 palegreen 26
27 56 1 0.288939445528932 palegreen 27
28 56 64 0.232669502761611 palegreen 28
29 56 71 0.531012269657801 palegreen 29
30 56 2 0.446488128805294 palegreen 30
31 56 72 0.260197315389361 orangered 31
32 56 8 0.352587917202077 palegreen 32
33 34 69 0.247491131985756 orangered 33
34 34 7 0.255172968286693 palegreen 34
35 34 63 0.281319378152657 palegreen 35
36 34 70 0.24896212886029 palegreen 36
37 34 4 0.394338769658696 orangered 37
38 34 1 0.230584310223544 orangered 38
39 34 71 0.421368186961354 orangered 39
40 34 2 0.356733146180949 orangered 40
41 34 8 0.282336565383724 orangered 41
42 11 69 0.296388707497566 palegreen 42
43 11 7 0.283209933123923 orangered 43
44 11 63 0.316689693984739 orangered 44
45 11 6 0.208318183916069 palegreen 45
46 11 70 0.276827552063646 orangered 46
47 11 62 0.232618054871154 orangered 47
48 11 4 0.449330023097641 palegreen 48
49 11 1 0.262498240986413 palegreen 49
50 11 64 0.208843140376528 palegreen 50
51 11 71 0.486330343060299 palegreen 51
52 11 2 0.404945987880768 palegreen 52
53 11 72 0.251499806245729 orangered 53
54 11 8 0.318759496502686 palegreen 54
55 45 69 0.27633667283456 palegreen 55
56 45 7 0.341045856693751 orangered 56
57 45 63 0.364802831864918 orangered 57
58 45 6 0.217987648208741 palegreen 58
59 45 70 0.331463468849623 orangered 59
60 45 4 0.497788991729386 palegreen 60
61 45 1 0.291681119045175 palegreen 61
62 45 64 0.247639719639585 palegreen 62
63 45 71 0.516353665426011 palegreen 63
64 45 2 0.45416633065544 palegreen 64
65 45 8 0.363802372447692 palegreen 65
66 9 69 0.245194571525317 palegreen 66
67 9 62 0.223867179116327 orangered 67
68 9 4 0.236853744049596 palegreen 68
69 9 73 0.259970433196512 orangered 69
70 9 71 0.294711121560811 palegreen 70
71 9 2 0.20396930774995 palegreen 71
72 9 72 0.290017592666077 orangered 72
73 35 69 0.293360578814946 palegreen 73
74 35 7 0.207584900302873 orangered 74
75 35 63 0.247767254072109 orangered 75
76 35 70 0.204698365530626 orangered 76
77 35 62 0.247600337463515 orangered 77
78 35 4 0.37024908945008 palegreen 78
79 35 1 0.215474400992116 palegreen 79
80 35 73 0.246248236207748 orangered 80
81 35 71 0.421921302448411 palegreen 81
82 35 2 0.32843577016289 palegreen 82
83 35 72 0.29419849977375 orangered 83
84 35 8 0.252583835752066 palegreen 84
85 57 7 0.368132567446978 palegreen 85
86 57 66 0.202492416889107 orangered 86
87 57 67 0.284936898204419 orangered 87
88 57 63 0.303067132881145 palegreen 88
89 57 3 0.440068345217181 palegreen 89
90 57 70 0.347400076416836 palegreen 90
91 57 65 0.252778766732379 palegreen 91
92 57 62 0.232809481158826 orangered 92
93 57 4 0.30013525607047 orangered 93
94 57 73 0.478683925527642 orangered 94
95 57 64 0.246205365394841 orangered 95
96 57 2 0.30686750137533 orangered 96
97 57 68 0.287846188386762 orangered 97
98 57 72 0.435660261553323 orangered 98
99 57 8 0.28285406194458 orangered 99
100 15 69 0.224224747354296 orangered 100
101 15 7 0.209724803368396 palegreen 101
102 15 63 0.235491756508748 palegreen 102
103 15 70 0.205110056861561 palegreen 103
104 15 4 0.335288865253102 orangered 104
105 15 71 0.364217789088448 orangered 105
106 15 2 0.301843208759962 orangered 106
107 15 8 0.237230002212417 orangered 107
108 41 69 0.23939443980326 orangered 108
109 41 62 0.205504496239805 palegreen 109
110 41 4 0.287324117567842 orangered 110
111 41 73 0.211998308479844 palegreen 111
112 41 71 0.332483906147183 orangered 112
113 41 2 0.253623786757952 orangered 113
114 41 72 0.249081114204123 palegreen 114
115 19 69 0.24147241484899 palegreen 115
116 19 7 0.257301438645922 orangered 116
117 19 63 0.282004779634114 orangered 117
118 19 70 0.250848537658364 orangered 118
119 19 4 0.393284399275382 palegreen 119
120 19 1 0.2300577071633 palegreen 120
121 19 71 0.417931983915159 palegreen 121
122 19 2 0.35635069658826 palegreen 122
123 19 8 0.282680065021686 palegreen 123
124 38 4 0.266852647592788 palegreen 124
