label id group
1 3-HydroxyphenylAceticAcid 1 Metabolome
2 Adenosine 2 Metabolome
3 Betaine 3 Metabolome
4 CholineChloride 4 Metabolome
5 Citrate 5 Metabolome
6 Creatine 6 Metabolome
7 D-Fructose 7 Metabolome
8 D-GluconicAcid 8 Metabolome
9 SLC25A17 9 Transcriptome
10 PRR13 10 Transcriptome
11 ERP27 11 Transcriptome
12 LONP2 12 Transcriptome
13 CLCN6 13 Transcriptome
14 SLC28A2 14 Transcriptome
15 DRC1 15 Transcriptome
16 LHFPL4 16 Transcriptome
17 ARPC4 17 Transcriptome
18 UMPS 18 Transcriptome
19 CA5B 19 Transcriptome
20 ENSSSCG00000018046 20 Transcriptome
21 CYP19A1 21 Transcriptome
22 ENSSSCG00000004415 22 Transcriptome
23 OPRD1 23 Transcriptome
24 MESD 24 Transcriptome
25 CFAP44 25 Transcriptome
26 ENTPD6 26 Transcriptome
27 KMO 27 Transcriptome
28 ELOVL5 28 Transcriptome
29 PTCD3 29 Transcriptome
30 PHACTR1 30 Transcriptome
31 ANGEL2 31 Transcriptome
32 IYD 32 Transcriptome
33 HEPACAM2 33 Transcriptome
34 CYSLTR2 34 Transcriptome
35 DZIP1L 35 Transcriptome
36 PHB2 36 Transcriptome
37 GLA 37 Transcriptome
38 ACSS3 38 Transcriptome
39 PIGW 39 Transcriptome
40 SCO1 40 Transcriptome
41 TIMM22 41 Transcriptome
42 TMIE 42 Transcriptome
43 MAPK13 43 Transcriptome
44 RASL10B 44 Transcriptome
45 HAO2 45 Transcriptome
46 BCL2L12 46 Transcriptome
47 EPHA5 47 Transcriptome
48 BRI3BP 48 Transcriptome
49 NR5A2 49 Transcriptome
50 ATF4 50 Transcriptome
51 TMPO 51 Transcriptome
52 PTCD3 52 Transcriptome
53 S1PR5 53 Transcriptome
54 ENSSSCG00000005971 54 Transcriptome
55 PPA1 55 Transcriptome
56 TXN 56 Transcriptome
57 C1orf54 57 Transcriptome
58 C1QB 58 Transcriptome
59 MX1 59 Transcriptome
60 PDHB 60 Transcriptome
61 Glycerophosphocholine 61 Metabolome
62 GuanidinoaceticAcid 62 Metabolome
63 Hypoxanthine 63 Metabolome
64 L-Cystine 64 Metabolome
65 L-Tyrosine 65 Metabolome
66 Myo-Inositol 66 Metabolome
67 NicotinuricAcid 67 Metabolome
68 Oxypurinol 68 Metabolome
69 SyringicAcid 69 Metabolome
70 TMAO 70 Metabolome
