label id group
1 2-Deoxyadenosine 1 Metabolome
2 Adenosine 2 Metabolome
3 CholineChloride 3 Metabolome
4 Creatine 4 Metabolome
5 D-Fructose 5 Metabolome
6 TAMALIN 6 Transcriptome
7 SYBU 7 Transcriptome
8 PREB 8 Transcriptome
9 PLAC8 9 Transcriptome
10 CCNA1 10 Transcriptome
11 GLUD1 11 Transcriptome
12 FRMPD2 12 Transcriptome
13 ENSSSCG00000010489 13 Transcriptome
14 AS3MT 14 Transcriptome
15 MKRN2OS 15 Transcriptome
16 TSPAN18 16 Transcriptome
17 ADM 17 Transcriptome
18 ENSSSCG00000013902 18 Transcriptome
19 PCDHB4 19 Transcriptome
20 PDE6A 20 Transcriptome
21 HOXB2 21 Transcriptome
22 PTGER2 22 Transcriptome
23 CDA 23 Transcriptome
24 TRNP1 24 Transcriptome
25 GNPTAB 25 Transcriptome
26 DNAI2 26 Transcriptome
27 FANCB 27 Transcriptome
28 BPIFC 28 Transcriptome
29 MED4 29 Transcriptome
30 SETX 30 Transcriptome
31 HSPA5 31 Transcriptome
32 TCAF1 32 Transcriptome
33 PDSS1 33 Transcriptome
34 ENSSSCG00000032003 34 Transcriptome
35 APBB2 35 Transcriptome
36 GINS4 36 Transcriptome
37 TFDP2 37 Transcriptome
38 CENPA 38 Transcriptome
39 USH1C 39 Transcriptome
40 SGSM2 40 Transcriptome
41 XK 41 Transcriptome
42 GTF2H1 42 Transcriptome
43 SPATA18 43 Transcriptome
44 PXDC1 44 Transcriptome
45 THOC7 45 Transcriptome
46 AOPEP 46 Transcriptome
47 ENSSSCG00000051336 47 Transcriptome
48 CSF3R 48 Transcriptome
49 NCEH1 49 Transcriptome
50 B2M 50 Transcriptome
51 MAP3K8 51 Transcriptome
52 TBC1D4 52 Transcriptome
53 ELP1 53 Transcriptome
54 USH1C 54 Transcriptome
55 Glycerophosphocholine 55 Metabolome
56 Hypoxanthine 56 Metabolome
57 IMP 57 Metabolome
58 L-Alanine 58 Metabolome
59 L-Aspartate 59 Metabolome
60 L-Cystine 60 Metabolome
61 L-Glutamine 61 Metabolome
62 L-Glutathione-oxidized 62 Metabolome
63 L-Phenylalanine 63 Metabolome
64 L-Proline 64 Metabolome
65 Lactate 65 Metabolome
66 Levoglucosan 66 Metabolome
67 Methanol 67 Metabolome
68 Myo-Inositol 68 Metabolome
69 NAD 69 Metabolome
70 Phosphocholine 70 Metabolome
71 Taurine 71 Metabolome
72 UDPG 72 Metabolome
73 VanillicAcid 73 Metabolome
