label id group
1 2-Deoxyadenosine 1 Metabolome
2 Adenosine 2 Metabolome
3 Citrate 3 Metabolome
4 Creatinine 4 Metabolome
5 D-Fructose 5 Metabolome
6 PRKN 6 Transcriptome
7 CD93 7 Transcriptome
8 TCF7L1 8 Transcriptome
9 RTN4 9 Transcriptome
10 CYP2U1 10 Transcriptome
11 ANAPC5 11 Transcriptome
12 ENSSSCG00000010489 12 Transcriptome
13 TNNC1 13 Transcriptome
14 FLNB 14 Transcriptome
15 MKRN2OS 15 Transcriptome
16 ADM 16 Transcriptome
17 PDE6A 17 Transcriptome
18 VPS11 18 Transcriptome
19 ENSSSCG00000016255 19 Transcriptome
20 HOXB2 20 Transcriptome
21 NDUFA4L2 21 Transcriptome
22 RNLS 22 Transcriptome
23 CDA 23 Transcriptome
24 TRNP1 24 Transcriptome
25 PELI1 25 Transcriptome
26 GNPTAB 26 Transcriptome
27 ZNF454 27 Transcriptome
28 DUOX1 28 Transcriptome
29 ZNF706 29 Transcriptome
30 BMPR1B 30 Transcriptome
31 RAB9A 31 Transcriptome
32 MTPN 32 Transcriptome
33 SLC8A3 33 Transcriptome
34 C3orf38 34 Transcriptome
35 STRADB 35 Transcriptome
36 SCTR 36 Transcriptome
37 VMP1 37 Transcriptome
38 CRTAP 38 Transcriptome
39 OTUD3 39 Transcriptome
40 SLC30A9 40 Transcriptome
41 ITM2C 41 Transcriptome
42 IL17RB 42 Transcriptome
43 NR1H4 43 Transcriptome
44 CLDN15 44 Transcriptome
45 UROC1 45 Transcriptome
46 ENSSSCG00000032003 46 Transcriptome
47 ZRSR2 47 Transcriptome
48 JPH4 48 Transcriptome
49 LIFR 49 Transcriptome
50 LIFR 50 Transcriptome
51 XK 51 Transcriptome
52 GTF2H1 52 Transcriptome
53 SCTR 53 Transcriptome
54 COMMD10 54 Transcriptome
55 ENSSSCG00000047493 55 Transcriptome
56 ENSSSCG00000051336 56 Transcriptome
57 CSF3R 57 Transcriptome
58 NRIP1 58 Transcriptome
59 MAP3K8 59 Transcriptome
60 GPR160 60 Transcriptome
61 Glycerophosphocholine 61 Metabolome
62 IMP 62 Metabolome
63 L-Aspartate 63 Metabolome
64 L-Carnitine 64 Metabolome
65 L-Glutamine 65 Metabolome
66 L-Glutathione-oxidized 66 Metabolome
67 L-Glutathione-reduced 67 Metabolome
68 L-Glycine 68 Metabolome
69 L-Isoleucine 69 Metabolome
70 L-Tyrosine 70 Metabolome
71 L-Valine 71 Metabolome
72 Methanol 72 Metabolome
73 Myo-Inositol 73 Metabolome
74 Phosphocholine 74 Metabolome
75 PyroglutamicAcid 75 Metabolome
76 Succinate 76 Metabolome
77 Taurine 77 Metabolome
78 VanillicAcid 78 Metabolome
