from to value color id
1 17 61 0.28902638047078 palegreen 1
2 17 59 0.242171381701538 palegreen 2
3 17 60 0.332565397927995 orangered 3
4 17 55 0.363690121009516 palegreen 4
5 17 63 0.280325332038929 palegreen 5
6 17 58 0.360093086930238 orangered 6
7 17 56 0.221095010291537 palegreen 7
8 17 57 0.224203494973672 palegreen 8
9 4 61 0.294624819876368 palegreen 9
10 4 59 0.253163167525412 palegreen 10
11 4 60 0.359054026105534 orangered 11
12 4 55 0.365469105529649 palegreen 12
13 4 63 0.28816373343293 palegreen 13
14 4 58 0.3788963291478 orangered 14
15 4 56 0.242972207596925 palegreen 15
16 4 57 0.226570819062172 palegreen 16
17 32 61 0.328152019466739 orangered 17
18 32 59 0.250950606569904 orangered 18
19 32 60 0.301215717306477 palegreen 19
20 32 55 0.432982883233146 orangered 20
21 32 63 0.309097825910112 orangered 21
22 32 58 0.363778911127582 palegreen 22
23 32 57 0.262079760042581 orangered 23
24 24 62 0.21352520556188 palegreen 24
25 24 60 0.31581026705167 orangered 25
26 24 55 0.222242949500373 palegreen 26
27 24 63 0.200587237646225 palegreen 27
28 24 58 0.297218826328189 orangered 28
29 24 56 0.229279536476612 palegreen 29
30 21 61 0.301592876751956 palegreen 30
31 21 59 0.237733409439322 palegreen 31
32 21 60 0.299405495738999 orangered 32
33 21 55 0.392011065573631 palegreen 33
34 21 63 0.286792344861173 palegreen 34
35 21 58 0.347652574413343 orangered 35
36 21 57 0.238644185166868 palegreen 36
37 44 62 0.489896817000393 orangered 37
38 44 59 0.226173293391603 orangered 38
39 44 60 0.527476365813178 palegreen 39
40 44 58 0.383114409938272 palegreen 40
41 44 56 0.431898069971284 orangered 41
42 36 62 0.36923559005072 orangered 42
43 36 60 0.327686738811914 palegreen 43
44 36 56 0.292146725681752 orangered 44
45 12 62 0.253684401771525 palegreen 45
46 12 61 0.271530110567802 palegreen 46
47 12 59 0.254781946590749 palegreen 47
48 12 60 0.399196340389067 orangered 48
49 12 55 0.318884118717697 palegreen 49
50 12 63 0.273779792025211 palegreen 50
51 12 58 0.389487489539947 orangered 51
52 12 56 0.283860479622365 palegreen 52
53 12 57 0.202081329352749 palegreen 53
54 23 61 0.24081128642987 palegreen 54
55 23 60 0.260846292605049 orangered 55
56 23 55 0.307285677020558 palegreen 56
57 23 63 0.231610499438246 palegreen 57
58 23 58 0.290440107447273 orangered 58
