label id group
1 PTPRO 1 Transcriptome
2 EYA2 2 Transcriptome
3 PCK1 3 Transcriptome
4 TNNC1 4 Transcriptome
5 SLC51A 5 Transcriptome
6 SLC25A5 6 Transcriptome
7 ILVBL 7 Transcriptome
8 ENSSSCG00000013902 8 Transcriptome
9 HSPA9 9 Transcriptome
10 CCDC90B 10 Transcriptome
11 SLC13A4 11 Transcriptome
12 MED28 12 Transcriptome
13 ENSSSCG00000037620 13 Transcriptome
14 PNPLA3 14 Transcriptome
15 BMPR1B 15 Transcriptome
16 ATP6V1B2 16 Transcriptome
17 ZNF454 17 Transcriptome
18 DUOX1 18 Transcriptome
19 OSGIN2 19 Transcriptome
20 BCL10 20 Transcriptome
21 BMPR1B 21 Transcriptome
22 S100A16 22 Transcriptome
23 MTPN 23 Transcriptome
24 MAP7 24 Transcriptome
25 PPP4R4 25 Transcriptome
26 P2RY14 26 Transcriptome
27 PDE5A 27 Transcriptome
28 TCTA 28 Transcriptome
29 PTGR1 29 Transcriptome
30 BORA 30 Transcriptome
31 ITM2C 31 Transcriptome
32 IL17RB 32 Transcriptome
33 GPR160 33 Transcriptome
34 ENSSSCG00000031610 34 Transcriptome
35 CASP8AP2 35 Transcriptome
36 PTPRE 36 Transcriptome
37 AAK1 37 Transcriptome
38 TGIF2 38 Transcriptome
39 MBNL1 39 Transcriptome
40 ENSSSCG00000034524 40 Transcriptome
41 HSPA12A 41 Transcriptome
42 ERBIN 42 Transcriptome
43 COL8A2 43 Transcriptome
44 CALHM2 44 Transcriptome
45 HNRNPH1 45 Transcriptome
46 RABGAP1 46 Transcriptome
47 ZBTB16 47 Transcriptome
48 SCTR 48 Transcriptome
49 VPS26A 49 Transcriptome
50 ENSSSCG00000041176 50 Transcriptome
51 GSTA4 51 Transcriptome
52 ANKRD13D 52 Transcriptome
53 GPR160 53 Transcriptome
54 BORCS8 54 Transcriptome
55 Glycerophosphocholine 55 Metabolome
56 L-Alanine 56 Metabolome
57 L-Aspartate 57 Metabolome
58 L-Glutathione-reduced 58 Metabolome
59 L-Glycine 59 Metabolome
60 Myo-Inositol 60 Metabolome
61 Phosphocholine 61 Metabolome
62 Succinate 62 Metabolome
63 VanillicAcid 63 Metabolome
