from to value color id
1 18 60 0.271096799444513 palegreen 1
2 18 59 0.24093849855251 palegreen 2
3 18 57 0.271606386720398 palegreen 3
4 18 54 0.24501449058453 palegreen 4
5 6 59 0.295135276418332 palegreen 5
6 6 57 0.237722951294146 palegreen 6
7 6 58 0.333747830189334 orangered 7
8 6 52 0.368360363206793 palegreen 8
9 6 62 0.251347854416297 palegreen 9
10 6 56 0.265464288027663 orangered 10
11 6 1 0.200775977701759 palegreen 11
12 6 54 0.21463070159353 palegreen 12
13 6 55 0.242978974553822 palegreen 13
14 33 59 0.231638461391348 orangered 14
15 33 57 0.219578949939769 orangered 15
16 33 52 0.202310883763501 orangered 16
17 9 53 0.337001903686127 orangered 17
18 9 59 0.275609187517524 orangered 18
19 9 58 0.421078607900424 palegreen 19
20 9 52 0.470712903834205 orangered 20
21 9 62 0.46304502741995 orangered 21
22 9 56 0.415559120103382 palegreen 22
23 9 1 0.364482050077218 orangered 23
24 9 61 0.202007056074202 orangered 24
25 9 55 0.309967936033269 orangered 25
26 35 59 0.277613061420091 orangered 26
27 35 57 0.240049609143742 orangered 27
28 35 58 0.276599201081114 palegreen 28
29 35 52 0.303249583356586 orangered 29
30 35 54 0.216687197886103 orangered 30
31 35 55 0.200209593280419 orangered 31
32 10 59 0.246976899189975 palegreen 32
33 10 57 0.238970456250338 palegreen 33
34 10 52 0.202946640514146 palegreen 34
35 10 54 0.215649500753919 palegreen 35
36 20 58 0.232827496273463 orangered 36
37 20 52 0.258505082142208 palegreen 37
38 20 62 0.212808516442728 palegreen 38
39 20 56 0.205892671752622 orangered 39
40 34 59 0.263917255818631 orangered 40
41 34 57 0.211007613173324 orangered 41
42 34 58 0.30201112046145 palegreen 42
43 34 52 0.333526667157775 orangered 43
44 34 62 0.232202292668876 orangered 44
45 34 56 0.242848458891758 palegreen 45
46 34 55 0.219984753577598 orangered 46
47 21 59 0.229687955615964 palegreen 47
48 21 58 0.276691766864921 orangered 48
49 21 52 0.306311363249802 palegreen 49
50 21 62 0.2309906003513 palegreen 50
51 21 56 0.232575859052529 orangered 51
52 21 55 0.201968654949019 palegreen 52
53 28 60 0.234735524131893 palegreen 53
54 28 59 0.245740398150613 palegreen 54
55 28 57 0.258843157462212 palegreen 55
56 28 54 0.233535736706097 palegreen 56
57 30 60 0.218688494242722 orangered 57
58 30 62 0.211923247706801 palegreen 58
59 48 53 0.316587113431809 orangered 59
60 48 59 0.284446534625847 orangered 60
61 48 58 0.412832854279932 palegreen 61
62 48 52 0.460617639233269 orangered 62
63 48 62 0.43250840354549 orangered 63
64 48 56 0.395558833986073 palegreen 64
65 48 1 0.340989186451857 orangered 65
66 48 61 0.202796664701645 orangered 66
67 48 55 0.303396408265502 orangered 67
68 8 58 0.229858429428064 orangered 68
69 8 52 0.257569031668204 palegreen 69
70 8 62 0.267842955354994 palegreen 70
71 8 56 0.235175555485363 orangered 71
72 8 1 0.210448504410197 palegreen 72
73 13 53 0.273094969923258 orangered 73
74 13 59 0.256598414343888 orangered 74
75 13 58 0.363709995185787 palegreen 75
76 13 52 0.405439102433525 orangered 76
77 13 62 0.371997759569676 orangered 77
78 13 56 0.343492756282306 palegreen 78
79 13 1 0.293523170067835 orangered 79
80 13 55 0.267083998642389 orangered 80
81 25 60 0.301203560597931 palegreen 81
82 25 59 0.231487379879759 palegreen 82
83 25 57 0.278683244361208 palegreen 83
84 25 62 0.23992104007825 orangered 84
85 25 54 0.251364457403742 palegreen 85
86 2 59 0.212762767415261 orangered 86
87 2 57 0.221675997299435 orangered 87
88 2 54 0.200007449281818 orangered 88
89 23 53 0.206287580254513 palegreen 89
90 23 59 0.242015323922575 palegreen 90
91 23 58 0.307314427545931 orangered 91
92 23 52 0.341019341722262 palegreen 92
93 23 62 0.27630306187177 palegreen 93
94 23 56 0.269227534834312 orangered 94
95 23 1 0.219050920642637 palegreen 95
96 23 55 0.224782767274133 palegreen 96
97 26 60 0.216071820944116 palegreen 97
98 26 59 0.253859848371118 palegreen 98
99 26 57 0.255897401473777 palegreen 99
100 26 54 0.230901604109573 palegreen 100
101 45 60 0.275001497817357 palegreen 101
102 45 57 0.228822783041555 palegreen 102
103 45 62 0.285231398658007 orangered 103
104 45 1 0.217654145141616 orangered 104
105 45 54 0.206350840411235 palegreen 105
106 46 53 0.295740133481157 palegreen 106
107 46 58 0.337811977723588 orangered 107
108 46 52 0.379243347262558 palegreen 108
109 46 62 0.41091839839774 palegreen 109
110 46 56 0.35517558807775 orangered 110
111 46 1 0.32245207048517 palegreen 111
112 46 55 0.249594430840292 palegreen 112
113 5 53 0.262514916022795 palegreen 113
114 5 58 0.232466866593771 orangered 114
115 5 52 0.264725695409409 palegreen 115
116 5 62 0.37446064164937 palegreen 116
117 5 56 0.295075915720249 orangered 117
118 5 1 0.291743882779466 palegreen 118
119 31 60 0.221720184751563 orangered 119
120 31 59 0.204345713760289 orangered 120
121 31 57 0.226785611084652 orangered 121
122 31 54 0.204588789014173 orangered 122
123 29 60 0.285956123398156 palegreen 123
124 29 59 0.214487148219039 palegreen 124
125 29 57 0.261208074186599 palegreen 125
126 29 62 0.236476232622568 orangered 126
127 29 54 0.235596970414494 palegreen 127
128 16 53 0.208475830992753 palegreen 128
129 16 62 0.303362713992297 palegreen 129
130 16 56 0.221880880267289 orangered 130
131 16 1 0.235090287242693 palegreen 131
132 14 59 0.304314267861927 orangered 132
133 14 57 0.249824595855751 orangered 133
134 14 58 0.333435868003251 palegreen 134
135 14 52 0.36743315858507 orangered 135
136 14 62 0.236852650262485 orangered 136
137 14 56 0.257336719434595 palegreen 137
138 14 54 0.225544156151634 orangered 138
139 14 55 0.242418685508149 orangered 139
140 40 60 0.286287560536259 palegreen 140
141 40 59 0.232588023408173 palegreen 141
142 40 57 0.272893372195826 palegreen 142
143 40 62 0.207344114049265 orangered 143
144 40 54 0.246154939536789 palegreen 144
145 41 60 0.286287560536259 palegreen 145
146 41 59 0.232588023408173 palegreen 146
147 41 57 0.272893372195826 palegreen 147
148 41 62 0.207344114049265 orangered 148
149 41 54 0.246154939536789 palegreen 149
150 36 53 0.265787369547506 orangered 150
151 36 52 0.208422560319592 orangered 151
152 36 62 0.387174403431647 orangered 152
153 36 56 0.282014007231263 palegreen 153
154 36 1 0.299954266222251 orangered 154
155 22 60 0.315057226190702 orangered 155
156 22 59 0.248923886443245 orangered 156
157 22 57 0.295829994180109 orangered 157
158 22 62 0.239772591108471 palegreen 158
159 22 54 0.266837252295806 orangered 159
160 3 53 0.253396261869964 orangered 160
161 3 52 0.218720378068251 orangered 161
162 3 62 0.366422425261649 orangered 162
163 3 56 0.274487736238014 palegreen 163
164 3 1 0.284434494626698 orangered 164
165 49 60 0.334711343369344 palegreen 165
166 49 59 0.299541998494215 palegreen 166
167 49 57 0.336657647509094 palegreen 167
168 49 54 0.303698783485503 palegreen 168
169 12 59 0.314860967560698 palegreen 169
170 12 57 0.281518538456125 palegreen 170
171 12 58 0.292680460576571 orangered 171
172 12 52 0.31957899185381 palegreen 172
173 12 54 0.254097068001074 palegreen 173
174 12 55 0.211105827345197 palegreen 174
175 4 59 0.302295100738526 orangered 175
176 4 57 0.26416719926105 orangered 176
177 4 58 0.294888845656095 palegreen 177
178 4 52 0.322911482283344 orangered 178
179 4 54 0.238450642766053 orangered 179
180 4 55 0.213225213881357 orangered 180
181 42 53 0.248933578052778 palegreen 181
182 42 59 0.319795512795963 palegreen 182
183 42 57 0.245268749946988 palegreen 183
184 42 58 0.389605530793272 orangered 184
185 42 52 0.431535899516647 palegreen 185
186 42 62 0.330721277870218 palegreen 186
187 42 56 0.330507274709125 orangered 187
188 42 1 0.262799489116344 palegreen 188
189 42 54 0.221476585365897 palegreen 189
190 42 61 0.20850639838434 palegreen 190
191 42 55 0.284516762336429 palegreen 191
192 38 53 0.21320645627394 orangered 192
193 38 58 0.212993455193982 palegreen 193
194 38 52 0.240814788990648 orangered 194
195 38 62 0.300640829822989 orangered 195
196 38 56 0.246901325171861 palegreen 196
197 38 1 0.234964603428951 orangered 197
198 24 60 0.227995088516816 palegreen 198
199 24 59 0.218208295811119 palegreen 199
200 24 57 0.238355263270698 palegreen 200
201 24 54 0.215033488588376 palegreen 201
202 39 60 0.262680847804906 orangered 202
203 39 57 0.23190551243213 orangered 203
204 39 62 0.238003512818009 palegreen 204
205 39 54 0.20915448710722 orangered 205
206 47 53 0.252257551742456 orangered 206
207 47 58 0.241985594403149 palegreen 207
208 47 52 0.274230995795933 orangered 208
209 47 62 0.357149752241486 orangered 209
210 47 56 0.289121124255389 palegreen 210
211 47 1 0.278821351663172 orangered 211
212 7 53 0.259732065255209 palegreen 212
213 7 52 0.213818096816592 palegreen 213
214 7 62 0.376984270786164 palegreen 214
215 7 56 0.278438062943575 orangered 215
216 7 1 0.292342173504194 palegreen 216
217 44 60 0.395460564673637 orangered 217
218 44 53 0.301826177594866 palegreen 218
219 44 59 0.216028643829813 orangered 219
220 44 57 0.309848692450374 orangered 220
221 44 62 0.459787790748869 palegreen 221
222 44 56 0.278400610573112 orangered 222
223 44 1 0.352060256212103 palegreen 223
224 44 54 0.279385378032111 orangered 224
225 27 60 0.329494441972521 orangered 225
226 27 53 0.265351150123623 palegreen 226
227 27 57 0.250793493861581 orangered 227
228 27 62 0.40213097122895 palegreen 228
229 27 56 0.249110158975519 orangered 229
230 27 1 0.308325101100637 palegreen 230
231 27 54 0.226122405775786 orangered 231
232 15 53 0.38450909912976 orangered 232
233 15 58 0.388951349650414 palegreen 233
234 15 52 0.439449534179782 orangered 234
235 15 62 0.541498216350645 orangered 235
236 15 56 0.446722835536413 palegreen 236
237 15 1 0.423353851377881 orangered 237
238 15 55 0.288976510782379 orangered 238
239 17 60 0.233313596997781 palegreen 239
240 17 53 0.310163745593146 orangered 240
241 17 58 0.204297083891831 palegreen 241
242 17 52 0.237694097951666 orangered 242
243 17 62 0.452563896620802 orangered 243
244 17 56 0.327547262272805 palegreen 244
245 17 1 0.350459328289284 orangered 245
246 51 60 0.302988034118913 palegreen 246
247 51 59 0.291107068196512 palegreen 247
248 51 57 0.317473167163719 palegreen 248
249 51 54 0.286411146072592 palegreen 249
250 50 53 0.251542150247271 orangered 250
251 50 52 0.210376753808044 orangered 251
252 50 62 0.364651564551505 orangered 252
253 50 56 0.270585378048082 palegreen 253
254 50 1 0.282870708226632 orangered 254
255 19 59 0.227360243508953 palegreen 255
256 19 58 0.288413346255588 orangered 256
257 19 52 0.320031102106402 palegreen 257
258 19 62 0.25896264716613 palegreen 258
259 19 56 0.252477407618378 orangered 259
260 19 1 0.20531431383788 palegreen 260
261 19 55 0.210949618007084 palegreen 261
262 37 53 0.248989472749514 orangered 262
263 37 59 0.322324944889343 orangered 263
264 37 57 0.247795523985398 orangered 264
265 37 58 0.391354542568202 palegreen 265
266 37 52 0.433405711449378 orangered 266
267 37 62 0.330556211266826 orangered 267
268 37 56 0.331079430543793 palegreen 268
269 37 1 0.262722454848201 orangered 269
270 37 54 0.223756595961999 orangered 270
271 37 61 0.209807070934497 orangered 271
272 37 55 0.285755467333047 orangered 272
273 43 53 0.246637369694266 palegreen 273
274 43 59 0.205535619254299 palegreen 274
275 43 58 0.310758192871773 orangered 275
276 43 52 0.34725696211217 palegreen 276
277 43 62 0.338510106632263 palegreen 277
278 43 56 0.304905852997942 orangered 278
279 43 1 0.266536967535255 palegreen 279
280 43 55 0.228682722211189 palegreen 280
281 32 60 0.264211259612082 orangered 281
282 32 59 0.201704069158264 orangered 282
283 32 57 0.243593980079152 orangered 283
284 32 62 0.212684134061177 palegreen 284
285 32 54 0.219713549889073 orangered 285
286 11 53 0.265545083840434 palegreen 286
287 11 58 0.207166142233251 orangered 287
288 11 52 0.237921342490559 palegreen 288
289 11 62 0.382813782045936 palegreen 289
290 11 56 0.290095379054221 orangered 290
291 11 1 0.297402706182114 palegreen 291
