label id group
1 2-Deoxyadenosine 1 Metabolome
2 PRKN 2 Transcriptome
3 TCF7L1 3 Transcriptome
4 CYP2U1 4 Transcriptome
5 COQ2 5 Transcriptome
6 ANAPC5 6 Transcriptome
7 HSPB8 7 Transcriptome
8 ENSSSCG00000010489 8 Transcriptome
9 BAMBI 9 Transcriptome
10 TNNC1 10 Transcriptome
11 MKRN2OS 11 Transcriptome
12 ADM 12 Transcriptome
13 ILVBL 13 Transcriptome
14 ENSSSCG00000013902 14 Transcriptome
15 PDE6A 15 Transcriptome
16 VPS11 16 Transcriptome
17 ENSSSCG00000016255 17 Transcriptome
18 HOXB2 18 Transcriptome
19 NDUFA4L2 19 Transcriptome
20 RNLS 20 Transcriptome
21 CDA 21 Transcriptome
22 UBE2Z 22 Transcriptome
23 TRNP1 23 Transcriptome
24 GNPTAB 24 Transcriptome
25 ZNF454 25 Transcriptome
26 DUOX1 26 Transcriptome
27 ZNF706 27 Transcriptome
28 BMPR1B 28 Transcriptome
29 RAB9A 29 Transcriptome
30 TMEM164 30 Transcriptome
31 C3orf38 31 Transcriptome
32 SCTR 32 Transcriptome
33 TRMT9B 33 Transcriptome
34 OTUD3 34 Transcriptome
35 SLC30A9 35 Transcriptome
36 ITM2C 36 Transcriptome
37 IL17RB 37 Transcriptome
38 NR1H4 38 Transcriptome
39 ENSSSCG00000036669 39 Transcriptome
40 CLDN15 40 Transcriptome
41 ENSSSCG00000032003 41 Transcriptome
42 GINS4 42 Transcriptome
43 HSPA12A 43 Transcriptome
44 ZRSR2 44 Transcriptome
45 JPH4 45 Transcriptome
46 TTC39A 46 Transcriptome
47 USH1C 47 Transcriptome
48 XK 48 Transcriptome
49 GTF2H1 49 Transcriptome
50 SCTR 50 Transcriptome
51 ENSSSCG00000047493 51 Transcriptome
52 ENSSSCG00000051336 52 Transcriptome
53 CSF3R 53 Transcriptome
54 MAP3K8 54 Transcriptome
55 GPR160 55 Transcriptome
56 ICA1 56 Transcriptome
57 Glycerophosphocholine 57 Metabolome
58 IMP 58 Metabolome
59 L-Alanine 59 Metabolome
60 L-Aspartate 60 Metabolome
61 L-Glutathione-reduced 61 Metabolome
62 L-Glycine 62 Metabolome
63 Myo-Inositol 63 Metabolome
64 Phosphocholine 64 Metabolome
65 Succinate 65 Metabolome
66 Taurine 66 Metabolome
67 VanillicAcid 67 Metabolome
