from to value color id
1 18 76 0.39848909384922 orangered 1
2 18 64 0.26350425874831 palegreen 2
3 18 73 0.264822037993232 palegreen 3
4 18 68 0.276961068009885 palegreen 4
5 18 71 0.25777642509282 palegreen 5
6 18 75 0.246628634633014 palegreen 6
7 18 1 0.212012737669226 palegreen 7
8 18 70 0.272230095627332 palegreen 8
9 18 62 0.335582899967494 palegreen 9
10 31 76 0.377919059070946 orangered 10
11 31 64 0.215863774182368 palegreen 11
12 31 69 0.211153139414597 palegreen 12
13 31 73 0.289210581794599 palegreen 13
14 31 68 0.301423108418186 palegreen 14
15 31 71 0.287376177944145 palegreen 15
16 31 75 0.277642170178515 palegreen 16
17 31 1 0.217379666671267 palegreen 17
18 31 70 0.314545618106949 palegreen 18
19 31 62 0.347348095749671 palegreen 19
20 28 76 0.478554225914337 orangered 20
21 28 64 0.280514118562914 palegreen 21
22 28 69 0.260694291063988 palegreen 22
23 28 73 0.358208609217772 palegreen 23
24 28 68 0.373525736206175 palegreen 24
25 28 71 0.354864838224546 palegreen 25
26 28 75 0.342362231486192 palegreen 26
27 28 1 0.271830069913748 palegreen 27
28 28 3 0.230791299714561 palegreen 28
29 28 70 0.386434089720791 palegreen 29
30 28 62 0.433716649019182 palegreen 30
31 28 78 0.22193850941859 palegreen 31
32 28 66 0.242484450367919 palegreen 32
33 28 65 0.241240854515143 palegreen 33
34 49 76 0.259459522046906 orangered 34
35 49 68 0.206496942996943 palegreen 35
36 49 70 0.215304248197645 palegreen 36
37 49 62 0.238137539874214 palegreen 37
38 42 76 0.27610980750944 orangered 38
39 42 5 0.259979237119926 palegreen 39
40 42 64 0.330607831138443 palegreen 40
41 42 2 0.244144166621215 palegreen 41
42 42 80 0.238477410376319 orangered 42
43 42 79 0.2218405575082 orangered 43
44 42 6 0.213208478052334 orangered 44
45 17 76 0.336874482051382 orangered 45
46 17 7 0.218562967019524 orangered 46
47 17 5 0.352337368097304 orangered 47
48 17 69 0.369982349531273 palegreen 48
49 17 73 0.475686026617602 palegreen 49
50 17 68 0.490580339155075 palegreen 50
51 17 71 0.501802838612251 palegreen 51
52 17 75 0.497925461190544 palegreen 52
53 17 2 0.296218510660625 orangered 53
54 17 4 0.354335096611367 palegreen 54
55 17 67 0.330884281121395 orangered 55
56 17 77 0.314028276014854 orangered 56
57 17 1 0.287151366457448 palegreen 57
58 17 3 0.326468140848557 palegreen 58
59 17 70 0.603090608547614 palegreen 59
60 17 62 0.476152397501335 palegreen 60
61 17 78 0.451181942880129 palegreen 61
62 17 72 0.25921390722306 palegreen 62
63 17 66 0.278696301499642 palegreen 63
64 17 80 0.492346126951301 palegreen 64
65 17 65 0.344598851733762 palegreen 65
66 17 63 0.314383351147594 palegreen 66
67 17 74 0.402123715307887 palegreen 67
68 17 79 0.487415763841838 palegreen 68
69 17 6 0.242845123343845 palegreen 69
70 29 7 0.213268651174818 palegreen 70
71 29 5 0.311331645376457 palegreen 71
72 29 64 0.297119640552326 palegreen 72
73 29 2 0.284684960618964 palegreen 73
74 29 4 0.240979111300092 orangered 74
75 29 77 0.243919931961374 palegreen 75
76 29 78 0.208512655893552 orangered 76
77 29 80 0.323083211104047 orangered 77
78 29 74 0.239059395217401 orangered 78
79 29 79 0.307065818082902 orangered 79
80 29 6 0.245100724356693 orangered 80
81 30 76 0.505778476451938 palegreen 81
82 30 64 0.204029678521174 orangered 82
83 30 69 0.361749277096581 orangered 83
84 30 73 0.481947505786122 orangered 84
85 30 68 0.500037393553659 orangered 85
86 30 71 0.491578541476777 orangered 86
87 30 75 0.480641450405822 orangered 87
88 30 4 0.237568608798192 orangered 88
89 30 67 0.253629321731325 palegreen 89
90 30 1 0.33159211715739 orangered 90
91 30 3 0.319757522639725 orangered 91
92 30 70 0.561503883209265 orangered 92
93 30 62 0.537388270875473 orangered 93
94 30 78 0.370951337628652 orangered 94
95 30 72 0.233004404256872 orangered 95
96 30 66 0.306219617915709 orangered 96
97 30 80 0.33828325071429 orangered 97
98 30 65 0.335783897028612 orangered 98
99 30 63 0.26592045020488 orangered 99
100 30 74 0.293569844600784 orangered 100
101 30 79 0.343793558626646 orangered 101
102 24 7 0.266091717094127 orangered 102
103 24 5 0.410517928545365 orangered 103
104 24 69 0.295574589734038 palegreen 104
105 24 73 0.366277498948509 palegreen 105
106 24 68 0.375299272343301 palegreen 106
107 24 71 0.400115915559063 palegreen 107
108 24 75 0.402847586452943 palegreen 108
109 24 2 0.358159447465377 orangered 109
110 24 4 0.371893085276492 palegreen 110
111 24 67 0.321353119037936 orangered 111
112 24 77 0.34682510211386 orangered 112
113 24 3 0.260359554182943 palegreen 113
114 24 70 0.504778464240006 palegreen 114
115 24 62 0.321796889511451 palegreen 115
116 24 78 0.417701188317791 palegreen 116
117 24 72 0.223757737940693 palegreen 117
118 24 80 0.510067366051158 palegreen 118
119 24 65 0.276231441710841 palegreen 119
120 24 63 0.284983461763235 palegreen 120
121 24 74 0.402504035709891 palegreen 121
122 24 79 0.497701198026989 palegreen 122
123 24 6 0.300275545442182 palegreen 123
124 25 76 0.255196275048231 palegreen 124
125 25 73 0.259009507621364 orangered 125
126 25 68 0.268428305632075 orangered 126
127 25 71 0.265886160069079 orangered 127
128 25 75 0.26071658342523 orangered 128
129 25 70 0.306769695246109 orangered 129
130 25 62 0.283249796749846 orangered 130
131 25 78 0.208065541359761 orangered 131
132 55 76 0.271034192424887 orangered 132
133 55 69 0.229037044228305 palegreen 133
134 55 73 0.300440968631406 palegreen 134
135 55 68 0.310910769861237 palegreen 135
136 55 71 0.310974091698676 palegreen 136
137 55 75 0.306042228129727 palegreen 137
138 55 3 0.202295951584497 palegreen 138
139 55 70 0.363364003684484 palegreen 139
140 55 62 0.320208874856817 palegreen 140
141 55 78 0.254437427659382 palegreen 141
142 55 80 0.254088351794633 palegreen 142
143 55 65 0.212917179047907 palegreen 143
144 55 74 0.213647308164488 palegreen 144
145 55 79 0.254696117950012 palegreen 145
146 20 73 0.242310420828049 palegreen 146
147 20 68 0.250116301328591 palegreen 147
148 20 71 0.25438622326831 palegreen 148
149 20 75 0.251899769050269 palegreen 149
150 20 70 0.30359588438789 palegreen 150
151 20 62 0.246558455454971 palegreen 151
152 20 78 0.223541342366285 palegreen 152
153 20 80 0.239083712255475 palegreen 153
154 20 79 0.237338710734013 palegreen 154
155 59 76 0.285264632241629 orangered 155
156 59 7 0.230459642221589 palegreen 156
157 59 5 0.330064210284281 palegreen 157
158 59 64 0.378824750164995 palegreen 158
159 59 2 0.30677859551784 palegreen 159
160 59 4 0.239872472822505 orangered 160
161 59 77 0.25133382852347 palegreen 161
162 59 80 0.318294338126117 orangered 162
163 59 74 0.22828400654226 orangered 163
164 59 79 0.298789808799191 orangered 164
165 59 6 0.266452355023105 orangered 165
166 43 76 0.380723914489911 orangered 166
167 43 69 0.290137754971415 palegreen 167
168 43 73 0.384160666241083 palegreen 168
169 43 68 0.398171015266552 palegreen 169
170 43 71 0.394132995850915 palegreen 170
171 43 75 0.386370964332298 palegreen 171
172 43 4 0.205928316515642 palegreen 172
173 43 67 0.213299142648094 orangered 173
174 43 1 0.258766438982263 palegreen 174
175 43 3 0.256380326336217 palegreen 175
176 43 70 0.454329976824304 palegreen 176
177 43 62 0.420855277782407 palegreen 177
178 43 78 0.307438427989775 palegreen 178
179 43 66 0.240834235017948 palegreen 179
180 43 80 0.29154274690344 palegreen 180
181 43 65 0.269474526185896 palegreen 181
182 43 63 0.219139763339921 palegreen 182
183 43 74 0.249532595009547 palegreen 183
184 43 79 0.294502135944876 palegreen 184
185 48 76 0.323124517909713 orangered 185
186 48 7 0.283395916178377 palegreen 186
187 48 5 0.407669991574152 palegreen 187
188 48 64 0.449588735097677 palegreen 188
189 48 2 0.377485543709048 palegreen 189
190 48 4 0.300748106039447 orangered 190
191 48 67 0.211687863748447 palegreen 191
192 48 77 0.312511252974711 palegreen 192
193 48 78 0.234011495425569 orangered 193
194 48 80 0.400081776050331 orangered 194
195 48 74 0.289174905070278 orangered 195
196 48 79 0.376715014022047 orangered 196
197 48 6 0.327207366381571 orangered 197
198 21 76 0.310531265747367 palegreen 198
199 21 69 0.216398671703288 orangered 199
200 21 73 0.289062897834442 orangered 200
201 21 68 0.300043720984738 orangered 201
202 21 71 0.294105217890192 orangered 202
203 21 75 0.287239605625604 orangered 203
204 21 1 0.20065644959453 orangered 204
205 21 70 0.334618748132268 orangered 205
206 21 62 0.324713204318458 orangered 206
207 21 78 0.21873036390303 orangered 207
208 21 65 0.200814324798167 orangered 208
209 9 76 0.293589132155289 orangered 209
210 9 5 0.294151361480284 orangered 210
211 9 69 0.315142112008697 palegreen 211
212 9 73 0.405812830854068 palegreen 212
213 9 68 0.418632362594673 palegreen 213
214 9 71 0.427459153521164 palegreen 214
215 9 75 0.423887204929088 palegreen 215
216 9 2 0.24669832594741 orangered 216
217 9 4 0.297711037591476 palegreen 217
218 9 67 0.279205490165611 orangered 218
219 9 77 0.263049148385459 orangered 219
220 9 1 0.24650417503514 palegreen 220
221 9 3 0.278098633002003 palegreen 221
222 9 70 0.512636720603515 palegreen 222
223 9 62 0.408282132841037 palegreen 223
224 9 78 0.381660903224934 palegreen 224
225 9 72 0.220021888267873 palegreen 225
226 9 66 0.238657742472862 palegreen 226
227 9 80 0.413975777560506 palegreen 227
228 9 65 0.293477842308706 palegreen 228
229 9 63 0.266221562000319 palegreen 229
230 9 74 0.3387657997682 palegreen 230
231 9 79 0.410165526354216 palegreen 231
232 9 6 0.201940394851956 palegreen 232
233 32 76 0.238591742131803 palegreen 233
234 32 5 0.294592416613712 palegreen 234
235 32 69 0.28750891277569 orangered 235
236 32 73 0.367435334036777 orangered 236
237 32 68 0.37854587026553 orangered 237
238 32 71 0.389821206525479 orangered 238
239 32 75 0.387747548841012 orangered 239
240 32 2 0.249770309224612 palegreen 240
241 32 4 0.289663101265015 orangered 241
242 32 67 0.266314198436418 palegreen 242
243 32 77 0.259490601854867 palegreen 243
244 32 1 0.216459784480103 orangered 244
245 32 3 0.253621687261077 orangered 245
246 32 70 0.472357316112786 orangered 246
247 32 62 0.360569493780647 orangered 247
248 32 78 0.359835358210098 orangered 248
249 32 72 0.204119263154139 orangered 249
250 32 66 0.212138138645892 orangered 250
251 32 80 0.401409069152392 orangered 251
252 32 65 0.267934444849733 orangered 252
253 32 63 0.249754811412048 orangered 253
254 32 74 0.325579652103675 orangered 254
255 32 79 0.396219643298398 orangered 255
256 32 6 0.205837770869739 orangered 256
257 10 76 0.220778926293412 palegreen 257
258 10 7 0.247895206611263 palegreen 258
259 10 5 0.389183146461254 palegreen 259
260 10 69 0.331955038426776 orangered 260
261 10 73 0.419013617600835 orangered 261
262 10 68 0.430748108301404 orangered 262
263 10 71 0.449791706711564 orangered 263
264 10 75 0.449613254972303 orangered 264
265 10 2 0.334571330048866 palegreen 265
266 10 4 0.368203389021817 orangered 266
267 10 67 0.32915535658907 palegreen 267
268 10 77 0.336077723238666 palegreen 268
269 10 1 0.234161240311704 orangered 269
270 10 3 0.292657345940465 orangered 270
271 10 70 0.554112844960972 orangered 271
272 10 62 0.394037142170402 orangered 272
273 10 78 0.437226613744316 orangered 273
274 10 72 0.242012428775254 orangered 274
275 10 66 0.234475472436413 orangered 275
276 10 80 0.50783651808042 orangered 276
277 10 65 0.30971011449118 orangered 277
278 10 63 0.301222288727367 orangered 278
279 10 74 0.406796054350033 orangered 279
280 10 79 0.498641515289027 orangered 280
281 10 6 0.278052612687545 orangered 281
