label id group
1 AceticAcid 1 Metabolome
2 Adenosine 2 Metabolome
3 CholineChloride 3 Metabolome
4 Citrate 4 Metabolome
5 Creatine 5 Metabolome
6 D-Fructose 6 Metabolome
7 D-GluconicAcid 7 Metabolome
8 D-Sorbitol 8 Metabolome
9 PARVB 9 Transcriptome
10 PRR13 10 Transcriptome
11 PLEKHD1 11 Transcriptome
12 LONP2 12 Transcriptome
13 IFI44 13 Transcriptome
14 TXN 14 Transcriptome
15 BMP7 15 Transcriptome
16 MYOZ1 16 Transcriptome
17 ANKRD22 17 Transcriptome
18 B4GALT4 18 Transcriptome
19 CHAF1B 19 Transcriptome
20 ENSSSCG00000023987 20 Transcriptome
21 DNAH11 21 Transcriptome
22 CYP4F22 22 Transcriptome
23 ENSSSCG00000028572 23 Transcriptome
24 ST6GALNAC3 24 Transcriptome
25 GIGYF1 25 Transcriptome
26 SEMA4D 26 Transcriptome
27 DIPK2B 27 Transcriptome
28 RHBG 28 Transcriptome
29 LRATD2 29 Transcriptome
30 ENSSSCG00000035711 30 Transcriptome
31 PRELP 31 Transcriptome
32 GLRB 32 Transcriptome
33 AZGP1 33 Transcriptome
34 ST3GAL2 34 Transcriptome
35 GPNMB 35 Transcriptome
36 TMPRSS13 36 Transcriptome
37 MYO9B 37 Transcriptome
38 ENSSSCG00000029596 38 Transcriptome
39 PJA1 39 Transcriptome
40 EXOC2 40 Transcriptome
41 LAMA1 41 Transcriptome
42 LRRC8D 42 Transcriptome
43 ACSS3 43 Transcriptome
44 MRAP2 44 Transcriptome
45 DNAH5 45 Transcriptome
46 ENSSSCG00000032135 46 Transcriptome
47 BEND3 47 Transcriptome
48 LGMN 48 Transcriptome
49 STXBP1 49 Transcriptome
50 DDAH1 50 Transcriptome
51 IGHM 51 Transcriptome
52 LDHA 52 Transcriptome
53 SLC23A2 53 Transcriptome
54 VIM 54 Transcriptome
55 ENSSSCG00000032383 55 Transcriptome
56 VPS26C 56 Transcriptome
57 ENSSSCG00000041022 57 Transcriptome
58 MPC2 58 Transcriptome
59 CXCL12 59 Transcriptome
60 S1PR5 60 Transcriptome
61 PPA1 61 Transcriptome
62 UROS 62 Transcriptome
63 ENSSSCG00000048042 63 Transcriptome
64 ENSSSCG00000049043 64 Transcriptome
65 ENSSSCG00000013091 65 Transcriptome
66 LYPLAL1 66 Transcriptome
67 MX1 67 Transcriptome
68 MPC1 68 Transcriptome
69 Glycerophosphocholine 69 Metabolome
70 GuanidinoaceticAcid 70 Metabolome
71 Hypoxanthine 71 Metabolome
72 L-Aspartate 72 Metabolome
73 L-Citrulline 73 Metabolome
74 L-Cystine 74 Metabolome
75 L-GlutamicAcid 75 Metabolome
76 L-Glutamine 76 Metabolome
77 L-Isoleucine 77 Metabolome
78 L-Leucine 78 Metabolome
79 L-Methionine 79 Metabolome
80 L-Serine 80 Metabolome
81 L-Valine 81 Metabolome
82 Myo-Inositol 82 Metabolome
83 N-Acetyl-L-AsparticAcid 83 Metabolome
84 NicotinuricAcid 84 Metabolome
85 Oxypurinol 85 Metabolome
86 SyringicAcid 86 Metabolome
87 Taurine 87 Metabolome
