from to value color id
1 10 4 0.346948081645849 palegreen 1
2 10 73 0.217199468427533 orangered 2
3 10 66 0.333699004759962 palegreen 3
4 10 80 0.340068880236842 palegreen 4
5 10 3 0.384236301722924 orangered 5
6 10 1 0.252925473853221 orangered 6
7 10 67 0.219969753443059 orangered 7
8 10 81 0.334780082325434 orangered 8
9 10 2 0.36342564278273 orangered 9
10 10 79 0.272171266613081 orangered 10
11 10 5 0.293797665838574 orangered 11
12 63 4 0.305831315360021 palegreen 12
13 63 66 0.316838682021255 palegreen 13
14 63 80 0.299550469626239 palegreen 14
15 63 3 0.39141392525357 orangered 15
16 63 1 0.242683937110787 orangered 16
17 63 81 0.377751194364925 orangered 17
18 63 2 0.360433545732709 orangered 18
19 63 79 0.246741944417451 orangered 19
20 63 5 0.306653081413877 orangered 20
21 25 4 0.425446241148719 palegreen 21
22 25 75 0.234686657554348 orangered 22
23 25 73 0.261972622055371 orangered 23
24 25 66 0.410718742339351 palegreen 24
25 25 80 0.416996072597057 palegreen 25
26 25 71 0.200095877370276 palegreen 26
27 25 3 0.474701087061607 orangered 27
28 25 1 0.3114721332519 orangered 28
29 25 67 0.269959521405617 orangered 29
30 25 81 0.416059709117343 orangered 30
31 25 2 0.448335757065374 orangered 31
32 25 79 0.334208013947895 orangered 32
33 25 5 0.3634628912476 orangered 33
34 51 4 0.375210471977149 palegreen 34
35 51 75 0.21677862950954 orangered 35
36 51 73 0.252227972960174 orangered 36
37 51 66 0.354854030666815 palegreen 37
38 51 80 0.367828523790897 palegreen 38
39 51 3 0.401529434421392 orangered 39
40 51 1 0.268285523995969 orangered 40
41 51 67 0.237012072330626 orangered 41
42 51 81 0.340091006603421 orangered 42
43 51 2 0.382381113825928 orangered 43
44 51 79 0.292528657295803 orangered 44
45 51 5 0.305062892676211 orangered 45
46 30 4 0.458978106164496 orangered 46
47 30 68 0.262488494760167 palegreen 47
48 30 72 0.224199198806976 palegreen 48
49 30 75 0.290083575956002 palegreen 49
50 30 73 0.362374671269382 palegreen 50
51 30 77 0.283795404780514 palegreen 51
52 30 66 0.415356623170886 orangered 52
53 30 80 0.450127081002652 orangered 53
54 30 71 0.240144230316848 orangered 54
55 30 82 0.254380478929847 palegreen 55
56 30 3 0.447674661134454 palegreen 56
57 30 69 0.223994046160798 palegreen 57
58 30 1 0.311898582996667 palegreen 58
59 30 70 0.2395522198019 palegreen 59
60 30 74 0.25774456630101 palegreen 60
61 30 67 0.287204485650206 palegreen 61
62 30 81 0.347820032258543 palegreen 62
63 30 2 0.434678393372483 palegreen 63
64 30 76 0.284040945769291 palegreen 64
65 30 79 0.352204739337847 palegreen 65
66 30 5 0.333830466249064 palegreen 66
67 57 4 0.528973019043343 orangered 67
68 57 68 0.230850482878235 palegreen 68
69 57 75 0.300906264768093 palegreen 69
70 57 73 0.345413970614316 palegreen 70
71 57 77 0.235530297725955 palegreen 71
72 57 66 0.503813623297745 orangered 72
73 57 80 0.518532085816367 orangered 73
74 57 71 0.254781459982192 orangered 74
75 57 82 0.251142999781155 palegreen 75
76 57 3 0.574301161410964 palegreen 76
77 57 1 0.381308254595837 palegreen 77
78 57 70 0.224647844750308 palegreen 78
79 57 74 0.223720136702826 palegreen 79
80 57 67 0.334654995662217 palegreen 80
81 57 81 0.492354676671654 palegreen 81
82 57 2 0.545334510100173 palegreen 82
83 57 76 0.248214139340823 palegreen 83
84 57 79 0.413472750370207 palegreen 84
85 57 5 0.437516018315957 palegreen 85
86 33 78 0.446038424144925 orangered 86
87 33 4 0.404940240431124 orangered 87
88 33 68 0.403144645797621 palegreen 88
89 33 72 0.35393169093611 palegreen 89
90 33 75 0.335921368481145 palegreen 90
91 33 73 0.492600460631544 palegreen 91
92 33 77 0.469523626082509 palegreen 92
93 33 66 0.306335055644703 orangered 93
94 33 80 0.397706078152531 orangered 94
95 33 71 0.264499363190858 orangered 95
96 33 65 0.465724869259996 palegreen 96
97 33 82 0.325045484358033 palegreen 97
98 33 3 0.25527521780654 palegreen 98
99 33 69 0.376449099891441 palegreen 99
100 33 1 0.222885003467605 palegreen 100
101 33 70 0.334478273542604 palegreen 101
102 33 74 0.4029400767109 palegreen 102
103 33 67 0.244649721453097 palegreen 103
104 33 2 0.277294881580645 palegreen 104
105 33 76 0.440054819248776 palegreen 105
106 33 79 0.29264962958625 palegreen 106
107 40 4 0.516203854782387 orangered 107
108 40 68 0.276844637595725 palegreen 108
109 40 72 0.235433864766668 palegreen 109
110 40 75 0.317685793206127 palegreen 110
111 40 73 0.389042306967121 palegreen 111
112 40 77 0.295713048917547 palegreen 112
113 40 66 0.473581364370873 orangered 113
114 40 80 0.506187727298703 orangered 114
115 40 71 0.264449995833385 orangered 115
116 40 82 0.275322765632683 palegreen 116
117 40 3 0.518449717419367 palegreen 117
118 40 69 0.232772528077696 palegreen 118
119 40 1 0.356385922958445 palegreen 119
120 40 70 0.256234716159444 palegreen 120
