label id group
1 3-HydroxyphenylAceticAcid 1 Metabolome
2 Adenosine 2 Metabolome
3 CholineChloride 3 Metabolome
4 D-Fructose 4 Metabolome
5 D-GluconicAcid 5 Metabolome
6 SLC25A17 6 Transcriptome
7 RNASE10 7 Transcriptome
8 KARS1 8 Transcriptome
9 LONP2 9 Transcriptome
10 IFI44 10 Transcriptome
11 TXN 11 Transcriptome
12 KCNIP3 12 Transcriptome
13 ENSSSCG00000008599 13 Transcriptome
14 MMRN1 14 Transcriptome
15 HMGB2 15 Transcriptome
16 ICAM4 16 Transcriptome
17 JMJD4 17 Transcriptome
18 VDAC1 18 Transcriptome
19 HBE1 19 Transcriptome
20 CYP19A1 20 Transcriptome
21 ENSSSCG00000004415 21 Transcriptome
22 CYP4F22 22 Transcriptome
23 ENSSSCG00000027270 23 Transcriptome
24 RNLS 24 Transcriptome
25 CFAP44 25 Transcriptome
26 ENSSSCG00000035650 26 Transcriptome
27 IFIT2 27 Transcriptome
28 WDTC1 28 Transcriptome
29 TCF7L2 29 Transcriptome
30 PDE3B 30 Transcriptome
31 UPF1 31 Transcriptome
32 BMF 32 Transcriptome
33 ENSSSCG00000032017 33 Transcriptome
34 CFAP68 34 Transcriptome
35 DZIP1L 35 Transcriptome
36 LAMA1 36 Transcriptome
37 SLC26A6 37 Transcriptome
38 GLA 38 Transcriptome
39 NDUFA12 39 Transcriptome
40 GCNT2 40 Transcriptome
41 ABCC5 41 Transcriptome
42 ACOX2 42 Transcriptome
43 ENSSSCG00000034696 43 Transcriptome
44 ARHGDIB 44 Transcriptome
45 STAU1 45 Transcriptome
46 DNAJC17 46 Transcriptome
47 NR5A2 47 Transcriptome
48 USP18 48 Transcriptome
49 VIM 49 Transcriptome
50 USP18 50 Transcriptome
51 IFI44L 51 Transcriptome
52 KAZN 52 Transcriptome
53 ITIH4 53 Transcriptome
54 COMP 54 Transcriptome
55 S1PR5 55 Transcriptome
56 ENSSSCG00000005971 56 Transcriptome
57 PPA1 57 Transcriptome
58 GALNT11 58 Transcriptome
59 ENSSSCG00000035650 59 Transcriptome
60 STK24 60 Transcriptome
61 LYPLAL1 61 Transcriptome
62 ENSSSCG00000048702 62 Transcriptome
63 MX1 63 Transcriptome
64 MPC1 64 Transcriptome
65 Glycerophosphocholine 65 Metabolome
66 GuanidinoaceticAcid 66 Metabolome
67 Hypoxanthine 67 Metabolome
68 L-Alanine 68 Metabolome
69 L-Aspartate 69 Metabolome
70 L-Citrulline 70 Metabolome
71 L-Cystine 71 Metabolome
72 L-Glycine 72 Metabolome
73 L-Leucine 73 Metabolome
74 L-Phenylalanine 74 Metabolome
75 L-Serine 75 Metabolome
76 L-Tyrosine 76 Metabolome
77 L-Valine 77 Metabolome
78 Myo-Inositol 78 Metabolome
79 N-Acetylglycine 79 Metabolome
80 NicotinuricAcid 80 Metabolome
81 Oxypurinol 81 Metabolome
82 S-Acetamidomethylcysteine 82 Metabolome
