from to value color id
1 4 70 0.321755726453344 orangered 1
2 4 72 0.578716074251348 palegreen 2
3 4 65 0.369251850345708 palegreen 3
4 4 63 0.604031012028516 palegreen 4
5 4 64 0.51046166796968 orangered 5
6 4 66 0.506042527194787 orangered 6
7 4 68 0.427756920127066 orangered 7
8 4 67 0.259842467397187 orangered 8
9 4 1 0.233270665952719 orangered 9
10 58 72 0.457254677908089 palegreen 10
11 58 65 0.287505293996619 palegreen 11
12 58 63 0.506017622710342 palegreen 12
13 58 64 0.361774146138876 orangered 13
14 58 66 0.365704949344375 orangered 14
15 58 68 0.200871635474741 orangered 15
16 58 1 0.285161376991481 orangered 16
17 9 70 0.498428065557529 palegreen 17
18 9 71 0.394144134131701 orangered 18
19 9 72 0.563908041086715 orangered 19
20 9 65 0.365267140182783 orangered 20
21 9 62 0.385255594315868 palegreen 21
22 9 63 0.55158102890628 orangered 22
23 9 64 0.550845905858666 palegreen 23
24 9 66 0.536992661736774 palegreen 24
25 9 68 0.593166825199271 palegreen 25
26 9 67 0.356396377925038 palegreen 26
27 9 69 0.293910840839795 palegreen 27
28 18 70 0.60989730317023 palegreen 28
29 18 71 0.68610305097708 orangered 29
30 18 72 0.310555885121666 orangered 30
31 18 65 0.211070731774166 orangered 31
32 18 62 0.643933420068381 palegreen 32
33 18 63 0.236662805595711 orangered 33
34 18 64 0.400308435476456 palegreen 34
35 18 66 0.375361392631277 palegreen 35
36 18 68 0.646562745436633 palegreen 36
37 18 67 0.383475824271151 palegreen 37
38 18 69 0.47079976457616 palegreen 38
39 41 70 0.632858418512604 palegreen 39
40 41 71 0.639522897559169 orangered 40
41 41 72 0.457063897345463 orangered 41
42 41 65 0.302822280816089 orangered 42
43 41 62 0.606883538466811 palegreen 43
44 41 63 0.401282652948935 orangered 44
45 41 64 0.512629584193173 palegreen 45
46 41 66 0.489584034703491 palegreen 46
47 41 68 0.699063989575786 palegreen 47
48 41 67 0.416609540723601 palegreen 48
49 41 69 0.449031940741383 palegreen 49
50 35 70 0.420686233818703 orangered 50
51 35 71 0.561912851366679 palegreen 51
52 35 62 0.519212460833579 orangered 52
53 35 68 0.411496647346869 orangered 53
54 35 67 0.241615211862141 orangered 54
55 35 69 0.3730977203616 orangered 55
56 35 1 0.256158137610556 palegreen 56
57 12 70 0.70421829071528 palegreen 57
58 12 71 0.684828898712563 orangered 58
59 12 72 0.558508825204674 orangered 59
60 12 65 0.367991568385865 orangered 60
61 12 62 0.652624877560145 palegreen 61
62 12 63 0.504172388779461 orangered 62
63 12 64 0.606433599586398 palegreen 63
64 12 66 0.581841065560584 palegreen 64
65 12 68 0.788313459248893 palegreen 65
66 12 67 0.470506934107903 palegreen 66
67 12 69 0.485044366823013 palegreen 67
68 56 70 0.712494103623002 palegreen 68
69 56 71 0.700976127450043 orangered 69
70 56 72 0.549992727081991 orangered 70
71 56 65 0.362942280956982 orangered 71
72 56 62 0.667150090616274 palegreen 72
73 56 63 0.492680722671295 orangered 73
74 56 64 0.602682539383767 palegreen 74
75 56 66 0.577483261087485 palegreen 75
76 56 68 0.79442779497227 palegreen 76
77 56 67 0.473944937096125 palegreen 77
78 56 69 0.49516181196008 palegreen 78
79 21 70 0.423836757962566 orangered 79
80 21 71 0.318085708799498 palegreen 80
81 21 72 0.511305660460571 palegreen 81
82 21 65 0.33036413407585 palegreen 82
83 21 62 0.313148833685675 orangered 83
84 21 63 0.505749933799261 palegreen 84
85 21 64 0.491340707785926 orangered 85
86 21 66 0.480230447397449 orangered 86
87 21 68 0.511037330086644 orangered 87
88 21 67 0.307469053899333 orangered 88
