label id group
1 PLEKHD1 1 Transcriptome
2 LONP2 2 Transcriptome
3 IFI44 3 Transcriptome
4 IL12RB2 4 Transcriptome
5 PGM1 5 Transcriptome
6 TXN 6 Transcriptome
7 BMP7 7 Transcriptome
8 MYOZ1 8 Transcriptome
9 ANKRD22 9 Transcriptome
10 CHAF1B 10 Transcriptome
11 ENSSSCG00000023987 11 Transcriptome
12 DNAH11 12 Transcriptome
13 CYP4F22 13 Transcriptome
14 SYT15 14 Transcriptome
15 ENSSSCG00000028572 15 Transcriptome
16 GIGYF1 16 Transcriptome
17 CA4 17 Transcriptome
18 SEMA4D 18 Transcriptome
19 DIPK2B 19 Transcriptome
20 RHBG 20 Transcriptome
21 ENSSSCG00000035711 21 Transcriptome
22 PRELP 22 Transcriptome
23 GLRB 23 Transcriptome
24 AZGP1 24 Transcriptome
25 ST3GAL2 25 Transcriptome
26 GPNMB 26 Transcriptome
27 TMPRSS13 27 Transcriptome
28 MYO9B 28 Transcriptome
29 ENSSSCG00000029596 29 Transcriptome
30 PJA1 30 Transcriptome
31 EXOC2 31 Transcriptome
32 LAMA1 32 Transcriptome
33 LRRC8D 33 Transcriptome
34 MRAP2 34 Transcriptome
35 DNAH5 35 Transcriptome
36 ENSSSCG00000032135 36 Transcriptome
37 LGMN 37 Transcriptome
38 STXBP1 38 Transcriptome
39 DDAH1 39 Transcriptome
40 IGHM 40 Transcriptome
41 LDHA 41 Transcriptome
42 SLC23A2 42 Transcriptome
43 VIM 43 Transcriptome
44 ENSSSCG00000032383 44 Transcriptome
45 VPS26C 45 Transcriptome
46 ENSSSCG00000041022 46 Transcriptome
47 MPC2 47 Transcriptome
48 ENSSSCG00000051757 48 Transcriptome
49 ENSSSCG00000045657 49 Transcriptome
50 CXCL12 50 Transcriptome
51 S1PR5 51 Transcriptome
52 ENSSSCG00000035711 52 Transcriptome
53 PPA1 53 Transcriptome
54 UROS 54 Transcriptome
55 ENSSSCG00000048042 55 Transcriptome
56 ENSSSCG00000049043 56 Transcriptome
57 ENSSSCG00000013091 57 Transcriptome
58 LYPLAL1 58 Transcriptome
59 MX1 59 Transcriptome
60 MPC1 60 Transcriptome
61 Glycerophosphocholine 61 Metabolome
62 GuanidinoaceticAcid 62 Metabolome
63 L-Alanine 63 Metabolome
64 L-Cystine 64 Metabolome
65 L-GlutamicAcid 65 Metabolome
66 L-Glycine 66 Metabolome
67 L-Leucine 67 Metabolome
68 L-Valine 68 Metabolome
69 Myo-Inositol 69 Metabolome
70 NicotinuricAcid 70 Metabolome
