label id group
1 SLC25A17 1 Transcriptome
2 C1QL4 2 Transcriptome
3 LRTM2 3 Transcriptome
4 EPYC 4 Transcriptome
5 CES1 5 Transcriptome
6 LONP2 6 Transcriptome
7 CLCN6 7 Transcriptome
8 IFI44 8 Transcriptome
9 IL33 9 Transcriptome
10 MAPRE1 10 Transcriptome
11 KCNIP3 11 Transcriptome
12 ENSSSCG00000009851 12 Transcriptome
13 CXCL12 13 Transcriptome
14 CYP17A1 14 Transcriptome
15 XPNPEP2 15 Transcriptome
16 MYRF 16 Transcriptome
17 ANGPTL6 17 Transcriptome
18 UGT1A3 18 Transcriptome
19 HLF 19 Transcriptome
20 ORAI2 20 Transcriptome
21 CYP19A1 21 Transcriptome
22 ENSSSCG00000029043 22 Transcriptome
23 HSD11B1L 23 Transcriptome
24 CYP4F22 24 Transcriptome
25 RNLS 25 Transcriptome
26 CFAP44 26 Transcriptome
27 SERPING1 27 Transcriptome
28 IFIT2 28 Transcriptome
29 RHBG 29 Transcriptome
30 BORCS7ASMT 30 Transcriptome
31 P2RY14 31 Transcriptome
32 GLRB 32 Transcriptome
33 PDE3B 33 Transcriptome
34 DZIP1L 34 Transcriptome
35 SLC26A6 35 Transcriptome
36 GLA 36 Transcriptome
37 GGT5 37 Transcriptome
38 TSPAN12 38 Transcriptome
39 OLFML2B 39 Transcriptome
40 ABCC5 40 Transcriptome
41 OTOF 41 Transcriptome
42 CPM 42 Transcriptome
43 VWA5A 43 Transcriptome
44 ARHGDIB 44 Transcriptome
45 STAU1 45 Transcriptome
46 NR5A2 46 Transcriptome
47 KIF12 47 Transcriptome
48 IFI44L 48 Transcriptome
49 RAI14 49 Transcriptome
50 SEMA5B 50 Transcriptome
51 RTN4RL1 51 Transcriptome
52 S1PR5 52 Transcriptome
53 NCAPD3 53 Transcriptome
54 PPA1 54 Transcriptome
55 UROS 55 Transcriptome
56 MX1 56 Transcriptome
57 TBC1D14 57 Transcriptome
58 COL14A1 58 Transcriptome
59 MPC1 59 Transcriptome
60 Glycerophosphocholine 60 Metabolome
61 GuanidinoaceticAcid 61 Metabolome
62 L-Alanine 62 Metabolome
63 L-Cystine 63 Metabolome
64 L-GlutamicAcid 64 Metabolome
65 L-Glycine 65 Metabolome
66 L-Leucine 66 Metabolome
67 L-Valine 67 Metabolome
68 Myo-Inositol 68 Metabolome
69 NicotinuricAcid 69 Metabolome
